referral_id,referrer_user_id,referred_user_id,bonus_amount,bonus_status,claim_date
RF000063,U000077,U000081,254.6,paid,2026-07-25
RF000064,U000083,U000084,75.58,paid,2025-12-22
RF000065,U000083,U000087,172.54,paid,2025-12-24
RF000066,U000083,U000088,76.57,paid,2025-12-22
RF000067,U000083,U000089,159.43,paid,2025-12-22
RF000068,U000083,U000090,222.06,paid,2025-12-22
RF000069,U000083,U000091,164.05,paid,2025-12-24
RF000070,U000083,U000092,174.71,paid,2025-12-23
RF000071,U000083,U000093,223.58,paid,2025-12-24
RF000072,U000094,U000096,68.31,paid,2026-05-08
RF000073,U000094,U000097,199.16,paid,2026-05-09
RF000074,U000094,U000098,128.3,paid,2026-05-08
RF000075,U000094,U000099,251.64,paid,2026-05-09
RF000076,U000094,U000101,257.59,paid,2026-05-08
RF000077,U000094,U000102,83.47,paid,2026-05-09
RF000078,U000094,U000103,177.09,paid,2026-05-09
RF000079,U000094,U000105,179.13,paid,2026-05-09
RF000080,U000094,U000106,249.82,paid,2026-05-09
RF000081,U000107,U000108,269.67,paid,2025-12-14
RF000082,U000109,U000110,167.54,paid,2025-12-14
RF000083,U000110,U000111,129.18,paid,2025-12-14
RF000084,U000111,U000112,181.46,paid,2025-12-14
RF000085,U000113,U000114,181.1,paid,2026-05-23
RF000086,U000114,U000115,63.63,pending,2026-05-23
RF000087,U000117,U000118,162.9,paid,2026-05-24
RF000088,U000119,U000120,124.82,paid,2026-05-23
RF000089,U000120,U000121,78.46,paid,2026-05-23
RF000090,U000121,U000122,160.94,paid,2026-05-24
RF000091,U000122,U000123,167.68,paid,2026-05-24
RF000092,U000123,U000124,109.64,paid,2026-05-24
RF000093,U000124,U000125,151.05,paid,2026-05-25
RF000094,U000125,U000126,170.38,paid,2026-05-25
RF000095,U000127,U000128,257.92,paid,2025-11-21
RF000096,U000128,U000129,67.6,paid,2025-11-21
RF000097,U000129,U000130,174.92,pending,2025-11-21
RF000098,U000130,U000131,159.67,pending,2025-11-21
RF000099,U000131,U000132,235.1,pending,2025-11-21
RF000100,U000132,U000133,234.04,paid,2025-11-21
RF000101,U000133,U000134,277.5,paid,2025-11-22
RF000102,U000135,U000136,281.95,paid,2026-03-05
RF000103,U000136,U000137,292.59,paid,2026-03-05
RF000104,U000138,U000139,292.53,paid,2026-03-05
RF000105,U000139,U000140,289.44,paid,2026-03-05
RF000106,U000140,U000141,250.25,pending,2026-03-05
RF000107,U000142,U000143,208.86,pending,2026-03-06
RF000108,U000146,U000147,228.39,paid,2026-03-26
RF000109,U000148,U000149,295.33,paid,2025-10-30
RF000110,U000149,U000150,73.24,paid,2025-10-30
RF000111,U000150,U000151,125.7,paid,2025-10-30
RF000112,U000151,U000152,136.69,paid,2025-10-30
RF000113,U000152,U000153,76.04,paid,2025-10-31
RF000114,U000153,U000154,239.8,paid,2025-10-31
RF000115,U000154,U000155,193.11,paid,2025-10-31
RF000116,U000156,U000157,185.46,paid,2025-12-08
RF000117,U000157,U000158,171.04,paid,2025-12-09
RF000118,U000158,U000159,294.91,paid,2025-12-09
RF000119,U000159,U000160,119.34,paid,2025-12-08
RF000120,U000160,U000161,252.01,paid,2025-12-09
RF000121,U000161,U000162,155.25,paid,2025-12-09
RF000122,U000162,U000163,68.43,paid,2025-12-09
RF000123,U000163,U000164,292.1,pending,2025-12-10
RF000124,U000164,U000165,69.54,paid,2025-12-09
RF000125,U000165,U000166,222.63,paid,2025-12-09
RF000126,U000166,U000167,175.62,paid,2025-12-10
RF000127,U000167,U000168,149.17,paid,2025-12-09
RF000128,U000168,U000169,61.0,paid,2025-12-10
RF000129,U000170,U000171,160.34,paid,2025-10-06
RF000130,U000171,U000172,163.87,paid,2025-10-06
RF000131,U000172,U000173,278.24,paid,2025-10-06
RF000132,U000173,U000174,140.05,paid,2025-10-06
RF000133,U000175,U000176,252.55,paid,2025-10-06
RF000134,U000176,U000177,198.35,pending,2025-10-06
RF000135,U000177,U000178,51.33,paid,2025-10-06
RF000136,U000178,U000179,255.13,paid,2025-10-07
RF000137,U000180,U000181,264.45,paid,2026-02-23
RF000138,U000181,U000182,295.73,paid,2026-02-23
RF000139,U000182,U000183,208.33,paid,2026-02-23
RF000140,U000183,U000184,272.9,paid,2026-02-24
RF000141,U000184,U000185,212.16,paid,2026-02-24
RF000142,U000185,U000186,252.0,paid,2026-02-23
RF000143,U000260,U000261,252.59,clawed_back,2026-06-03
RF000144,U000260,U000262,179.89,paid,2026-05-10
RF000145,U000260,U000263,168.4,paid,2026-02-24
RF000146,U000260,U000264,243.12,paid,2026-01-23
RF000147,U000260,U000265,270.1,paid,2025-10-31
RF000148,U000260,U000266,259.88,paid,2025-11-19
RF000149,U000260,U000267,177.78,paid,2026-03-30
RF000150,U000260,U000268,146.68,paid,2026-01-02
RF000151,U000260,U000269,240.18,paid,2026-04-27
RF000152,U000260,U000270,210.03,paid,2025-12-20
RF000153,U000260,U000271,123.85,paid,2026-04-13
RF000154,U000260,U000272,66.56,pending,2025-11-24
RF000155,U000260,U000273,88.51,paid,2026-05-28
RF000156,U000260,U000274,181.52,pending,2025-12-12
RF000157,U000260,U000275,253.95,paid,2026-04-13
RF000158,U000260,U000276,217.11,paid,2025-11-20
RF000159,U000260,U000277,73.01,paid,2026-05-02
RF000160,U000260,U000278,128.01,pending,2026-01-07
RF000161,U000260,U000279,92.09,paid,2026-01-10
RF000162,U000260,U000280,131.28,paid,2025-12-15
RF000163,U000260,U000281,222.41,paid,2025-12-23
RF000164,U000260,U000282,271.87,paid,2025-11-06
RF000165,U000260,U000283,151.45,paid,2025-11-26
RF000166,U000260,U000284,237.12,paid,2026-06-04
RF000167,U000260,U000285,281.16,paid,2025-12-22
RF000168,U000260,U000286,185.87,paid,2026-05-20
RF000169,U000260,U000287,106.43,pending,2026-02-22
RF000170,U000260,U000288,299.23,paid,2026-04-28
RF000171,U000260,U000289,237.42,paid,2025-12-14
RF000172,U000260,U000290,97.59,paid,2025-11-11
RF000173,U000291,U000292,54.87,paid,2025-10-05
RF000174,U000291,U000293,235.23,paid,2026-06-26
RF000175,U000291,U000294,207.29,paid,2026-03-26
RF000176,U000291,U000295,161.89,paid,2026-04-12
RF000177,U000291,U000296,257.58,paid,2026-02-21
RF000178,U000291,U000297,76.88,pending,2026-02-27
RF000179,U000291,U000298,233.22,paid,2026-05-13
RF000180,U000291,U000299,251.93,paid,2026-06-05
RF000181,U000291,U000300,291.66,clawed_back,2026-03-27
RF000182,U000291,U000301,277.67,paid,2026-06-25
RF000183,U000291,U000302,232.44,paid,2025-12-16
RF000184,U000291,U000303,280.48,pending,2025-11-03
RF000185,U000291,U000304,112.42,paid,2026-05-11
RF000186,U000291,U000305,292.19,pending,2026-01-14
RF000187,U000291,U000306,193.54,paid,2026-04-10
RF000188,U000291,U000307,152.69,pending,2026-05-10
RF000189,U000291,U000308,241.15,paid,2025-11-02
RF000190,U000291,U000309,110.79,paid,2025-11-19
RF000191,U000291,U000310,171.06,pending,2025-11-17
RF000192,U000291,U000311,293.97,paid,2026-03-25
RF000193,U000291,U000312,63.42,paid,2025-10-12
RF000194,U000291,U000313,208.89,paid,2025-12-28
RF000195,U000291,U000314,186.33,pending,2025-10-19
RF000196,U000291,U000315,113.45,paid,2026-02-06
RF000197,U000291,U000316,246.54,paid,2025-11-27
RF000198,U000291,U000317,164.78,paid,2025-10-08
RF000199,U000291,U000318,94.26,paid,2026-01-14
RF000200,U000291,U000319,251.82,clawed_back,2025-11-11
RF000201,U000291,U000320,273.1,paid,2025-12-04
RF000202,U002474,U003861,79.13,paid,2025-10-03
RF000203,U003879,U003374,154.41,paid,2026-06-08
RF000204,U003897,U002542,148.19,paid,2026-04-14
RF000205,U001946,U000905,188.34,paid,2025-12-04
RF000206,U001408,U003843,122.82,paid,2025-10-24
RF000207,U000984,U001858,255.62,paid,2025-12-12
RF000208,U000560,U000808,294.44,paid,2025-10-11
RF000209,U001236,U003263,129.8,clawed_back,2026-03-09
RF000210,U003490,U003341,292.44,pending,2026-08-05
RF000211,U001005,U001553,230.44,paid,2025-09-17
RF000212,U000857,U001022,147.6,paid,2026-08-06
RF000213,U003034,U000815,235.68,paid,2025-12-25
RF000214,U001416,U002586,264.51,paid,2026-07-25
RF000215,U002681,U003256,57.92,pending,2026-05-02
RF000216,U003244,U000995,70.06,pending,2026-08-23
RF000217,U001674,U002193,185.37,paid,2026-02-15
RF000218,U003395,U002718,76.29,paid,2025-11-30
RF000219,U002090,U002211,127.33,paid,2026-04-26
RF000220,U001784,U003400,147.23,paid,2025-10-11
RF000221,U003861,U003649,118.04,paid,2025-10-18
RF000222,U002068,U002162,230.83,paid,2026-08-02
RF000223,U003166,U003197,252.58,clawed_back,2025-12-27
RF000224,U002059,U000876,264.19,paid,2026-06-09
RF000225,U003734,U002423,213.11,pending,2026-04-20
RF000226,U002308,U002485,189.9,clawed_back,2025-09-18
RF000227,U003833,U003999,191.6,paid,2025-10-16
RF000228,U003845,U000923,280.31,paid,2026-08-05
RF000229,U003083,U002745,164.14,pending,2026-03-10
RF000230,U001754,U001139,216.2,paid,2026-01-08
RF000231,U001634,U000969,204.13,pending,2025-12-08
RF000232,U002879,U001214,154.94,paid,2026-04-30
RF000233,U000985,U001172,252.38,paid,2026-05-02
RF000234,U003635,U001641,178.54,paid,2025-10-17
RF000235,U001558,U002939,122.81,paid,2025-10-12
RF000236,U002446,U002710,149.55,pending,2026-08-20
RF000237,U003377,U003867,171.0,paid,2026-03-26
RF000238,U003579,U000484,82.49,paid,2025-09-29
RF000239,U003952,U002418,78.86,paid,2025-12-02
RF000240,U000503,U001037,182.86,paid,2025-11-20
RF000241,U002033,U000802,145.41,paid,2026-01-17
RF000242,U003817,U002493,159.76,paid,2026-05-13
RF000243,U003583,U003802,227.01,paid,2025-10-13
RF000244,U001634,U001414,164.73,paid,2025-12-07
RF000245,U003972,U002008,136.01,pending,2026-03-24
RF000246,U001954,U003433,71.79,paid,2026-07-16
RF000247,U000398,U003683,219.58,pending,2026-05-29
RF000248,U001387,U002488,283.58,paid,2025-11-24
RF000249,U000454,U003548,77.56,paid,2026-04-09
RF000250,U001321,U003049,231.57,paid,2026-03-11
RF000251,U003619,U001177,56.35,clawed_back,2026-06-20
RF000252,U001005,U002334,54.12,paid,2025-09-26
RF000253,U001151,U003033,125.86,paid,2025-12-13
RF000254,U002257,U001761,183.62,pending,2026-02-07
RF000255,U002028,U001419,238.42,pending,2025-09-30
RF000256,U000712,U003554,240.4,pending,2025-09-22
RF000257,U002445,U001479,270.81,paid,2026-08-21
RF000258,U001514,U000417,66.09,paid,2025-10-11
RF000259,U002048,U002474,189.2,paid,2025-09-19
RF000260,U000483,U002452,299.82,paid,2025-12-16
RF000261,U003745,U003153,154.87,paid,2026-02-26
RF000262,U003872,U002790,218.91,paid,2026-07-21
RF000263,U001370,U003735,71.6,pending,2026-06-27
RF000264,U002321,U000549,228.9,paid,2026-04-14
RF000265,U001736,U001997,96.37,pending,2026-08-27
RF000266,U002058,U002983,249.86,paid,2026-04-27
RF000267,U002790,U002731,135.63,paid,2026-08-27
RF000268,U004000,U002761,280.8,pending,2026-08-27
RF000269,U002068,U001355,68.28,pending,2026-07-16
RF000270,U002749,U000925,130.79,paid,2025-12-08
RF000271,U002830,U001501,137.0,paid,2026-08-27
RF000272,U002908,U002711,76.73,paid,2025-09-27
RF000273,U001034,U003566,171.35,paid,2026-04-26
RF000274,U001690,U003042,279.62,paid,2026-06-03
RF000275,U001876,U001938,210.4,clawed_back,2026-06-22
RF000276,U003735,U002482,204.49,paid,2026-07-01
RF000277,U000483,U001210,177.1,pending,2025-12-18
RF000278,U001175,U002557,100.28,clawed_back,2026-05-12
RF000279,U001899,U000994,153.66,paid,2026-06-09
RF000280,U002062,U002013,80.48,paid,2026-08-15
RF000281,U002767,U001016,89.07,pending,2025-10-08
RF000282,U002230,U001292,77.49,paid,2026-07-25
RF000283,U001260,U003446,275.24,paid,2026-06-11
RF000284,U002308,U003932,166.34,paid,2025-10-20
RF000285,U001243,U001422,262.24,paid,2026-04-12
RF000286,U002363,U000827,154.83,paid,2025-10-23
RF000287,U001784,U002260,229.3,paid,2025-09-19
RF000288,U003387,U002636,116.07,paid,2025-10-08
RF000289,U001754,U003306,258.5,paid,2026-01-23
RF000290,U003304,U003940,288.03,paid,2026-02-14
RF000291,U002359,U000467,282.91,paid,2025-09-10
RF000292,U002584,U001755,254.41,paid,2026-02-10
RF000293,U002494,U002316,287.59,paid,2026-04-20
RF000294,U003321,U002100,257.28,paid,2026-07-11
RF000295,U001765,U003141,63.59,clawed_back,2025-11-15
RF000296,U002535,U000554,152.55,paid,2026-03-01
RF000297,U003423,U003542,290.57,pending,2026-05-22
RF000298,U003883,U001896,190.44,paid,2026-07-19
RF000299,U001498,U003105,186.62,paid,2026-07-03
RF000300,U002443,U001613,136.0,paid,2026-07-25
RF000301,U002769,U001676,246.66,paid,2026-06-11
RF000302,U001422,U001899,272.99,paid,2026-04-27
RF000303,U001272,U002918,294.74,paid,2025-10-13
RF000304,U002270,U002461,162.25,paid,2025-10-16
RF000305,U000921,U001687,274.12,pending,2026-04-26
RF000306,U000832,U001316,141.06,pending,2026-01-13
RF000307,U002687,U001770,297.11,paid,2026-04-05
RF000308,U001299,U002412,91.32,paid,2025-10-03
RF000309,U002886,U001729,273.67,paid,2026-05-23
RF000310,U003795,U000753,185.49,paid,2026-04-26
RF000311,U001744,U002587,255.45,paid,2026-06-02
RF000312,U001139,U001046,163.19,paid,2026-02-18
RF000313,U003550,U002856,73.04,paid,2026-08-14
RF000314,U002252,U000672,98.97,paid,2025-12-11
RF000315,U000565,U001305,229.17,paid,2026-02-28
RF000316,U002952,U001052,299.68,paid,2026-03-31
RF000317,U002862,U000852,247.74,paid,2026-05-14
RF000318,U002156,U003279,227.15,paid,2025-10-20
RF000319,U001962,U003553,70.76,paid,2026-05-16
RF000320,U001540,U001785,105.46,paid,2026-07-23
RF000321,U001714,U003221,241.18,paid,2025-11-06
RF000322,U002286,U001606,131.23,paid,2026-04-07
RF000323,U002012,U001191,287.69,paid,2026-08-16
RF000324,U001890,U002772,262.57,paid,2025-12-25
RF000325,U001337,U000974,148.84,paid,2026-03-08
RF000326,U003844,U001891,209.72,paid,2026-04-01
RF000327,U001815,U003652,99.61,paid,2026-06-26
RF000328,U003593,U003340,56.8,clawed_back,2026-01-28
RF000329,U000769,U003768,150.01,paid,2026-01-03
RF000330,U003768,U000875,253.02,paid,2026-02-04
RF000331,U002776,U003241,290.02,paid,2026-08-27
RF000332,U003563,U002573,233.44,paid,2026-04-03
RF000333,U003642,U002053,157.25,paid,2025-11-09
RF000334,U002459,U001193,231.74,paid,2026-07-20
RF000335,U001146,U001488,288.61,paid,2026-05-31
RF000336,U002534,U001522,182.16,paid,2026-07-19
RF000337,U001442,U003344,237.32,paid,2025-11-06
RF000338,U001081,U002407,83.64,paid,2026-05-24
RF000339,U003880,U002033,247.25,pending,2025-12-14
RF000340,U003459,U003325,118.34,pending,2026-06-10
RF000341,U001008,U002105,65.83,pending,2026-01-07
RF000342,U001005,U001932,216.63,paid,2025-09-02
RF000343,U003963,U003408,197.75,paid,2025-11-25
RF000344,U001929,U002118,62.46,paid,2026-03-15
RF000345,U003577,U000510,157.26,paid,2026-05-17
RF000346,U001876,U001288,67.91,paid,2026-06-08
RF000347,U001117,U003246,60.51,pending,2026-07-04
RF000348,U001898,U003207,53.31,clawed_back,2026-01-25
RF000349,U000850,U002302,63.43,paid,2026-07-04
RF000350,U002400,U001737,118.99,paid,2026-04-13
RF000351,U001428,U002113,106.2,paid,2026-04-08
RF000352,U003130,U003008,282.54,paid,2026-02-18
RF000353,U001191,U003804,282.0,paid,2026-08-20
RF000354,U001914,U003594,187.13,paid,2026-07-04
RF000355,U002239,U001917,112.12,paid,2025-10-16
RF000356,U001815,U001542,209.12,paid,2026-06-18
RF000357,U001296,U000992,205.22,paid,2026-03-03
RF000358,U002895,U003409,196.32,paid,2025-12-28
RF000359,U001852,U001704,69.27,paid,2026-08-08
RF000360,U001442,U001543,102.14,paid,2025-11-11
RF000361,U002128,U002746,130.47,paid,2026-05-19
RF000362,U000634,U002249,185.95,paid,2026-07-30
RF000363,U003833,U001784,74.81,paid,2025-09-11
RF000364,U003667,U002841,117.58,paid,2026-05-11
RF000365,U001559,U002317,236.54,paid,2026-05-18
RF000366,U003994,U000548,56.51,paid,2025-10-03
RF000367,U003900,U002807,202.06,paid,2026-03-14
RF000368,U003747,U002793,200.43,paid,2026-08-06
RF000369,U002059,U000716,199.45,paid,2026-06-27
RF000370,U001784,U001074,250.74,paid,2025-09-22
RF000371,U000992,U003888,97.58,paid,2026-03-11
RF000372,U002140,U003337,50.34,paid,2025-09-27
RF000373,U002068,U000563,80.23,paid,2026-06-24
RF000374,U001974,U000963,109.48,paid,2026-05-26
RF000375,U001756,U003826,129.7,paid,2026-04-03
RF000376,U002772,U000689,280.89,paid,2026-01-25
RF000377,U003105,U000822,112.99,paid,2026-07-30
RF000378,U003418,U000893,73.36,pending,2026-01-09
RF000379,U003665,U001170,183.35,pending,2026-05-01
RF000380,U000530,U003188,232.09,paid,2026-04-08
RF000381,U000639,U000687,170.47,paid,2025-09-03
RF000382,U001290,U002795,102.42,paid,2026-08-25
RF000383,U000861,U000600,172.8,paid,2025-12-12
RF000384,U003704,U000892,138.75,paid,2026-07-12
RF000385,U001743,U002742,106.12,paid,2026-03-14
RF000386,U002516,U002495,56.94,paid,2026-08-21
RF000387,U002312,U002747,172.99,paid,2025-10-17
RF000388,U002482,U001861,84.11,paid,2026-07-10
RF000389,U003081,U001054,161.33,paid,2026-07-15
RF000390,U001617,U003108,101.2,paid,2025-09-12
RF000391,U003041,U003760,167.52,paid,2026-02-04
RF000392,U002652,U001173,117.39,paid,2026-04-06
RF000393,U001074,U003541,57.98,paid,2025-10-01
RF000394,U000811,U002584,63.42,paid,2026-02-10
RF000395,U001372,U000789,298.0,pending,2026-03-14
RF000396,U002284,U000661,161.04,paid,2025-09-29
RF000397,U002918,U000792,297.59,paid,2025-11-10
RF000398,U000802,U001709,259.4,paid,2026-02-19
RF000399,U003995,U002094,162.43,paid,2025-09-15
RF000400,U003460,U002786,50.98,paid,2025-11-23
RF000401,U003086,U001084,101.41,paid,2026-05-23
RF000402,U003699,U002922,56.14,paid,2025-09-30
RF000403,U003340,U003641,89.17,paid,2026-02-07
RF000404,U003875,U002792,81.68,paid,2025-09-22
RF000405,U003349,U001961,62.54,paid,2026-03-26
RF000406,U000674,U000573,74.28,pending,2025-11-07
RF000407,U000868,U000701,129.4,pending,2026-04-02
RF000408,U002789,U003758,290.56,paid,2026-04-30
RF000409,U003470,U001066,184.5,paid,2026-01-25
RF000410,U001205,U000645,249.09,paid,2026-07-09
RF000411,U002498,U001727,209.8,pending,2025-11-03
RF000412,U002453,U003237,175.17,paid,2026-01-23
RF000413,U000993,U000768,114.99,paid,2026-04-30
RF000414,U002425,U002106,199.19,clawed_back,2025-11-12
RF000415,U003193,U003418,217.98,paid,2025-12-01
RF000416,U003059,U002477,111.08,paid,2026-06-06
RF000417,U000545,U000982,224.88,paid,2026-08-27
RF000418,U003330,U000878,190.71,clawed_back,2026-07-21
RF000419,U001932,U003585,255.41,paid,2025-09-20
RF000420,U001298,U002479,221.51,paid,2025-12-18
RF000421,U001266,U002964,53.38,paid,2025-11-13
RF000422,U002167,U002396,278.94,pending,2026-04-01
RF000423,U002277,U001919,185.56,paid,2026-06-27
RF000424,U003693,U000748,297.59,pending,2025-12-19
RF000425,U001068,U003602,279.23,paid,2026-04-08
RF000426,U001818,U003497,63.43,paid,2025-11-07
RF000427,U001914,U003135,280.99,paid,2026-07-13
RF000428,U002623,U003119,65.55,paid,2025-11-24
RF000429,U003109,U002126,200.79,paid,2026-01-30
RF000430,U003031,U003644,146.46,paid,2025-12-16
RF000431,U001022,U000682,50.01,clawed_back,2026-08-27
RF000432,U003757,U001101,70.23,paid,2025-12-07
RF000433,U002700,U001475,65.75,pending,2026-03-25
RF000434,U002676,U003462,235.48,paid,2025-10-01
RF000435,U002874,U003757,198.75,paid,2025-11-09
RF000436,U003603,U003662,227.24,paid,2026-05-24
RF000437,U002321,U001625,259.23,pending,2026-05-15
RF000438,U002978,U001667,280.67,pending,2025-09-16
RF000439,U003893,U002651,123.77,paid,2025-10-02
RF000440,U003000,U003583,120.95,paid,2025-10-05
RF000441,U001928,U001349,106.77,paid,2026-03-25
RF000442,U001762,U001528,254.84,paid,2026-07-09
RF000443,U003779,U000942,168.92,paid,2026-08-17
RF000444,U003541,U002895,179.08,paid,2025-11-29
RF000445,U001378,U003609,238.75,paid,2025-12-22
RF000446,U003666,U002026,74.03,paid,2025-11-05
RF000447,U002945,U002272,156.04,paid,2026-07-23
RF000448,U001740,U001278,196.76,paid,2026-02-01
RF000449,U002814,U001887,113.27,pending,2025-10-15
RF000450,U001809,U003326,271.04,paid,2026-03-31
RF000451,U001169,U000466,141.37,paid,2025-10-19
RF000452,U002905,U003628,289.86,paid,2026-08-26
RF000453,U001254,U002489,239.21,paid,2025-10-13
RF000454,U001258,U002679,169.94,paid,2025-10-18
RF000455,U003946,U001794,172.41,paid,2026-06-03
RF000456,U001324,U003882,104.36,paid,2026-02-27
RF000457,U003845,U002450,54.62,paid,2026-07-01
RF000458,U000837,U001807,97.03,pending,2026-02-06
RF000459,U001749,U003216,134.76,paid,2026-02-23
RF000460,U001819,U001626,66.09,paid,2025-12-02
RF000461,U003765,U003893,177.46,paid,2025-09-26
RF000462,U002772,U003002,145.41,paid,2026-01-08
RF000463,U001735,U002743,170.82,pending,2026-05-25
RF000464,U003447,U002357,211.02,pending,2026-06-20
RF000465,U003787,U001581,268.77,paid,2026-07-23
RF000466,U001543,U003090,163.99,paid,2025-12-02
RF000467,U000680,U003592,152.92,paid,2026-03-15
RF000468,U003738,U003198,157.66,paid,2026-01-07
RF000469,U002180,U002367,119.1,pending,2025-11-13
RF000470,U001380,U001116,163.73,paid,2026-04-20
RF000471,U001895,U000958,219.16,paid,2026-07-05
RF000472,U001845,U003147,161.61,paid,2026-01-24
RF000473,U003660,U003185,86.24,paid,2026-03-28
RF000474,U002195,U002077,297.72,paid,2026-07-13
RF000475,U002404,U000493,238.59,paid,2026-04-15
RF000476,U002423,U001156,165.17,paid,2026-05-18
RF000477,U003495,U000535,177.06,clawed_back,2026-02-20
RF000478,U003515,U001339,62.43,paid,2025-10-27
RF000479,U001311,U002114,182.3,paid,2025-12-24
RF000480,U003123,U001964,74.83,paid,2025-12-16
RF000481,U001193,U002756,73.4,paid,2026-08-21
RF000482,U002701,U002178,108.29,paid,2026-01-14
RF000483,U002613,U001020,129.26,pending,2025-11-14
RF000484,U002745,U002664,244.57,paid,2026-04-12
RF000485,U002959,U001088,287.72,paid,2026-04-01
RF000486,U000574,U002002,206.35,clawed_back,2026-03-19
RF000487,U002890,U002500,273.12,pending,2025-11-13
RF000488,U002611,U003205,135.44,paid,2026-03-14
RF000489,U001296,U003139,72.31,paid,2026-04-03
